Date,AAPL,AMZN,GOOG,IBM,MSFT,NVDA
04/04/2014,16.65120506,16.14999962,26.95497322,116.1519012,33.50630569,0.429895043
07/04/2014,16.38976479,15.88799953,26.7073288,117.8175354,33.44748306,0.431316167
08/04/2014,16.38882828,16.35350037,27.53859901,117.0725403,33.46427536,0.446711838
09/04/2014,16.60423851,16.59049988,27.99716187,119.1015549,34.01054001,0.446238071
10/04/2014,16.39009094,15.85550022,26.84628868,118.5201416,33.07769012,0.43534261
11/04/2014,16.26891518,15.58650017,26.33263969,118.2233658,32.95164871,0.429184496
14/04/2014,16.33371544,15.7954998,26.42792511,119.7860107,32.92642593,0.433921695
15/04/2014,16.21724892,15.8039999,26.62246704,119.3317261,33.40545654,0.437000662
16/04/2014,16.25012398,16.18400002,27.6199894,118.9562073,33.95170593,0.437948078
17/04/2014,16.43579102,16.24550056,26.60559082,115.0858612,33.62395096,0.43960613
21/04/2014,16.63085175,16.5435009,26.23437119,116.4547501,33.56512833,0.443158895
22/04/2014,16.6474514,16.4659996,26.54157448,116.3820572,33.6071434,0.446948588
23/04/2014,16.42984772,16.22900009,26.15099907,116.1276855,33.3550415,0.452159494
24/04/2014,17.77679825,16.85750008,26.06266022,115.2131271,33.4978981,0.456186265
25/04/2014,17.90735054,15.19149971,25.61700058,114.855751,33.53990936,0.443632692
28/04/2014,18.60086823,14.82900047,25.66514206,116.9817047,34.34669113,0.441737831
29/04/2014,18.54576683,15.01900005,26.18871498,118.1748505,34.04413223,0.442685306
30/04/2014,18.47562027,15.20650005,26.13710403,118.9986267,33.95170593,0.4374744
01/05/2014,18.51914406,15.39449978,26.36985588,117.2179031,33.61555099,0.43984291
02/05/2014,18.55358887,15.4005003,26.20013046,115.9520264,33.3550415,0.436526954
05/05/2014,18.81596756,15.50249958,26.19417572,115.8430252,33.13653183,0.441264123
06/05/2014,18.61089134,14.86900043,25.56538773,115.0980072,32.82558823,0.432263583
07/05/2014,18.54576683,14.63549995,25.30831718,115.3234482,33.12813568,0.432737231
08/05/2014,18.51270676,14.41600037,25.35993004,115.0858154,33.31299591,0.438184887
09/05/2014,18.43556595,14.61200047,25.74355125,115.7985916,33.22896957,0.427526414
12/05/2014,18.66508675,15.14299965,26.29889297,117.3155441,33.59033203,0.440079927
13/05/2014,18.69436836,15.23200035,26.456213,117.0840454,34.20814514,0.4329741
14/05/2014,18.69783211,14.88099957,26.13660622,114.9700851,34.05581665,0.428710699
15/05/2014,18.5388298,14.75949955,25.80558586,113.5932541,33.51416779,0.42634204
16/05/2014,18.81243324,14.88500023,25.83784676,113.9587708,33.70882416,0.425394803
19/05/2014,19.03534889,14.8380003,26.24628448,113.922226,33.6411171,0.439132422
20/05/2014,19.03913116,15.05949974,26.29144669,112.6368027,33.58187485,0.434016436
21/05/2014,19.08950806,15.25049973,26.74653816,113.5506516,34.14891815,0.434016436
22/05/2014,19.11972046,15.24549961,27.05025864,113.118103,33.93731308,0.435920179
23/05/2014,19.33571243,15.61200047,27.42941666,113.2765045,33.95425034,0.439965159
27/05/2014,19.69778824,15.54100037,28.08698845,112.5698242,34.0134964,0.447817504
28/05/2014,19.64678764,15.50800037,27.87507629,111.5341339,33.86116409,0.451624632
29/05/2014,20.00476646,15.68900013,27.79567337,111.9483948,34.14044189,0.450910807
30/05/2014,19.92983437,15.62749958,27.78624344,112.3139496,34.64823151,0.452100605
02/06/2014,19.79287338,15.44200039,27.49045753,113.1241608,34.52128983,0.450672895
03/06/2014,20.07276726,15.35949993,27.04430389,112.3200302,34.09813309,0.448769242
04/06/2014,20.30197906,15.33899975,27.03040886,112.4052963,34.12352371,0.449245214
05/06/2014,20.38163757,16.17849922,27.4889698,113.3008194,34.8767395,0.451148719
06/06/2014,20.32559586,16.48349953,27.60956764,113.5384369,35.10524368,0.4528144
09/06/2014,20.65083694,16.375,27.89691162,113.4470367,34.92752075,0.453290284
10/06/2014,20.77204895,16.62050056,27.81899834,112.2713089,34.79211044,0.455669761
11/06/2014,20.68609047,16.76000023,27.73413467,111.0284576,34.58052063,0.461618543
12/06/2014,20.34007454,16.2954998,27.36241913,110.4009857,34.34357071,0.464473814
13/06/2014,20.11748314,16.31349945,27.38276672,111.2173767,34.89366531,0.464949667
16/06/2014,20.32023621,16.38100052,27.01154709,111.0894089,35.12218475,0.463521987
17/06/2014,20.29379272,16.28100014,26.94852257,111.0345535,35.27450562,0.46661526
18/06/2014,20.31583595,16.71899986,27.46266937,111.8509445,35.24912643,0.466139495
19/06/2014,20.24531364,16.35000038,27.53859901,111.3757477,35.13063431,0.455431789
20/06/2014,20.03593826,16.20999908,27.61105537,110.6020279,35.27450562,0.450434953
23/06/2014,20.01830292,16.36199951,28.03735924,110.9614639,35.53686905,0.445199996
24/06/2014,19.8970871,16.20800018,28.02098274,110.1939011,35.33375549,0.438299596
25/06/2014,19.91471481,16.37199974,28.71726608,110.0963898,35.5707283,0.442820579
26/06/2014,20.03373718,16.28450012,28.58575058,109.8831863,35.30836105,0.436871946
27/06/2014,20.27175903,16.22850037,28.64728928,110.6995087,35.75691223,0.437347859
30/06/2014,20.48113251,16.23900032,28.55002022,110.4314423,35.29143143,0.441154897
01/07/2014,20.61116028,16.61949921,28.91677284,113.5262299,35.43530273,0.446151853
02/07/2014,20.60234642,16.64249992,28.90014648,114.769043,35.46071243,0.44448626
03/07/2014,20.72356606,16.87450027,29.01900291,114.8542862,35.37605667,0.4485313
07/07/2014,21.15113068,16.67749977,28.89592361,114.5558395,35.53686905,0.444962144
08/07/2014,21.01447868,16.19050026,28.34207916,114.0562973,35.35913849,0.441392869
09/07/2014,21.02328873,16.49850082,28.58972168,114.7873383,35.26603699,0.454717934
10/07/2014,20.94615555,16.39599991,28.34257126,114.3486862,35.28298187,0.452338517
11/07/2014,20.98583221,17.30999947,28.74356842,114.5314407,35.62150574,0.453290284
14/07/2014,21.25691414,17.76600075,29.02595139,115.6646042,35.66381073,0.459000975
15/07/2014,21.00787354,17.72200012,29.02148247,114.8300018,35.92617416,0.460904598
16/07/2014,20.88885498,17.79500008,28.91627312,117.1876297,37.30567551,0.460428625
17/07/2014,20.51638985,17.62249947,28.47309685,117.2668304,37.68651581,0.459239066
18/07/2014,20.81172562,17.93300056,29.53265381,117.2729034,37.82191467,0.43877548
21/07/2014,20.70372391,17.98800087,29.25424004,116.2676773,37.94887543,0.441392869
22/07/2014,20.87563896,18.04199982,29.5157795,118.2415237,37.94041824,0.439489305
23/07/2014,21.4200058,17.90699959,29.57731819,117.9612579,37.97426224,0.430209368
24/07/2014,21.38474464,17.93050003,29.44679832,118.9421692,37.57650757,0.430923194
25/07/2014,21.52579308,16.20050049,29.23190689,118.4304123,37.66112518,0.423308879
28/07/2014,21.8233223,16.02050018,29.31031799,119.2711029,37.21257019,0.421643227
29/07/2014,21.68226814,16,29.06267738,118.5339508,37.14487076,0.423070908
30/07/2014,21.63158226,16.12549973,29.15250015,118.1867371,36.88251877,0.430209368
31/07/2014,21.06958389,15.64949989,28.36738777,116.7672272,36.52706528,0.41640836
01/08/2014,21.18638611,15.35299969,28.09294319,115.2320557,36.27315903,0.420929372
04/08/2014,21.06737328,15.68249989,28.44431114,115.530571,36.70478821,0.419977635
05/08/2014,20.96379089,15.61600018,28.04331779,113.9831543,36.4593544,0.420215607
06/08/2014,20.92852974,15.69449997,28.10803032,113.9647598,36.17161179,0.419739664
07/08/2014,20.9263134,15.57250023,27.95845032,112.9413834,36.58630753,0.415456593
08/08/2014,20.98390579,15.84000015,28.22694016,114.3692017,36.56093216,0.452100605
11/08/2014,21.26075935,15.91650009,28.18277168,114.8840332,36.56093216,0.449721098
12/08/2014,21.25633621,15.9659996,27.92718697,114.8043213,36.83173752,0.449721098
13/08/2014,21.53762245,16.31399918,28.5252037,115.1781311,37.30567551,0.452338517
14/08/2014,21.59520912,16.66049957,28.51875305,115.1352386,37.46647644,0.447341472
15/08/2014,21.70152855,16.68149948,28.46068954,114.8288193,37.90654373,0.453052342
18/08/2014,21.96288109,16.72649956,28.89146042,116.0422211,38.17737961,0.459239066
19/08/2014,22.26632309,16.75650024,29.12471199,116.4772797,38.60318375,0.462943465
20/08/2014,22.27518082,16.78899956,29.00709343,116.4956741,38.27956772,0.460075349
21/08/2014,22.27739525,16.64550018,28.95150948,117.1881943,38.50951385,0.455773503
22/08/2014,22.44130135,16.5795002,28.9113102,116.6856689,38.4499054,0.456012458
25/08/2014,22.49002457,16.70100021,28.79418945,117.1452484,38.46692657,0.456729382
26/08/2014,22.34605598,17.09149933,28.67805862,118.2667313,38.33066177,0.464855462
27/08/2014,22.62070847,17.1590004,28.33761024,117.8132629,38.21144867,0.459597468
28/08/2014,22.64728355,17.00099945,28.24828148,117.6600571,38.2199707,0.463421494
29/08/2014,22.70265007,16.95199966,28.36738777,117.8438568,38.68833542,0.464855462
02/09/2014,22.87984848,17.11899948,28.65175629,117.390358,38.3987999,0.466050476
03/09/2014,21.91415024,16.95000076,28.68202972,117.6294022,38.28808212,0.47035253
04/09/2014,21.73253059,17.29750061,28.88252449,116.8511658,38.5435791,0.478717506
05/09/2014,21.92080307,17.31900024,29.08600235,117.1697845,39.09710312,0.477283537
08/09/2014,21.78568649,17.11700058,29.26664543,116.5202103,39.57401657,0.472981393
09/09/2014,21.70374107,16.48749924,28.83438873,116.4282608,39.82096863,0.467006385
10/09/2014,22.37042236,16.56649971,28.93811035,117.3781509,39.88910294,0.468679458
11/09/2014,22.46566772,16.52599907,28.85126114,117.4884567,40.02536774,0.463899434
12/09/2014,22.51660919,16.55949974,28.56689262,117.2188187,39.7698822,0.456968367
15/09/2014,22.50996399,16.19449997,28.44183159,117.5436249,39.3781395,0.450754404
16/09/2014,22.33941269,16.38800049,28.78177834,118.2483444,39.82096863,0.457446545
17/09/2014,22.49889183,16.20000076,29.02099037,118.1502838,39.61658859,0.457685471
18/09/2014,22.5453949,16.25,29.2443161,118.7324371,39.75284576,0.464616507
19/09/2014,22.36156464,16.56599998,29.58228111,118.8856277,40.46818161,0.456012458
22/09/2014,22.38370514,16.22500038,29.15002251,118.3402481,40.07645798,0.451471388
23/09/2014,22.73366356,16.18149948,28.84034157,117.4271851,39.65065384,0.44955942
24/09/2014,22.53653526,16.41049957,29.18079185,117.850029,40.0934906,0.452188343
25/09/2014,21.67716217,16.0965004,28.53910065,115.827713,39.20781326,0.442389518
26/09/2014,22.31504631,16.16049957,28.64034081,116.4711761,39.52290726,0.443345428
29/09/2014,22.1733017,16.0909996,28.60361862,116.2138062,39.54845428,0.442628473
30/09/2014,22.31504631,16.12199974,28.65324402,116.3302155,39.48033142,0.440955341
01/10/2014,21.96730995,15.87300014,28.20212555,114.7001801,39.08859634,0.436653525
02/10/2014,22.12678528,15.9204998,28.29195404,114.5408325,38.96936798,0.434741437
03/10/2014,22.06477356,16.13699913,28.55002022,115.6194,39.25040436,0.435697377
06/10/2014,22.06477356,16.11000061,28.65275002,115.8460999,39.25040436,0.433068454
07/10/2014,21.87207222,15.84899998,27.97730827,113.8054123,38.77351761,0.428527325
08/10/2014,22.32612991,16.13500023,28.41205215,116.0422211,39.83800507,0.436414421
09/10/2014,22.37484932,15.76850033,27.83537674,114.2405472,39.04601288,0.428049445
10/10/2014,22.31062126,15.56949997,27.02197075,113.9402237,37.49610901,0.402715445
13/10/2014,22.10684776,15.32250023,26.46216583,112.4634018,37.17249298,0.401281416
14/10/2014,21.87207222,15.41549969,26.69690895,112.6349564,37.24060822,0.41060245
15/10/2014,21.60406494,15.29850006,26.3043499,111.3787003,36.80629349,0.416816443
16/10/2014,21.32056808,15.14299965,26.03040504,110.208252,36.39752579,0.417055398
17/10/2014,21.632864,15.18200016,25.36836624,111.5625381,37.15545654,0.416338354
20/10/2014,22.09577751,15.31050014,25.84827042,103.6266556,37.53869247,0.419923335
21/10/2014,22.69601631,15.76650047,26.13114929,100.0294037,38.2199707,0.437848479
22/10/2014,22.81118584,15.64850044,26.43735313,99.14697266,37.79416275,0.427571416
23/10/2014,23.2187252,15.6590004,26.99666023,99.38596344,38.33917999,0.437131375
24/10/2014,23.30510521,14.35299969,26.78822517,99.32465363,39.28446579,0.441672474
27/10/2014,23.28074837,14.49849987,26.83735466,99.19598389,39.09710312,0.441911489
28/10/2014,23.64177704,14.77950001,27.24083138,100.2561493,39.59104538,0.452427506
29/10/2014,23.77466202,14.70600033,27.26217079,100.1703644,39.70175171,0.44955942
30/10/2014,23.69492722,14.95349979,27.31080627,100.7157898,39.21633148,0.446691453
31/10/2014,23.92084885,15.27299976,27.74604225,100.7464142,39.98278046,0.467006385
03/11/2014,24.23093033,15.28600025,27.55448151,100.7219238,40.40007401,0.47489354
04/11/2014,24.05373573,15.14050007,27.49939156,99.67398071,40.51076889,0.481107593
05/11/2014,24.11132813,14.82600021,27.09293938,99.16531372,40.75773239,0.481107593
06/11/2014,24.18028831,14.83199978,26.900383,99.62194824,41.47309494,0.483258486
07/11/2014,24.24924469,14.99300003,26.84926414,99.99832916,41.45606232,0.472981393
10/11/2014,24.20921326,15.25549984,27.17085457,100.8744659,41.63489532,0.478478491
11/11/2014,24.40273857,15.60050011,27.30981636,100.7572479,41.61785126,0.472742468
12/11/2014,24.74753952,15.57549953,27.16192245,99.90575409,41.54121017,0.469635427
13/11/2014,25.09678078,15.82400036,27.06614113,100.4425735,42.24805069,0.46724546
14/11/2014,25.39931488,16.39100075,27.01750565,101.2878494,42.22249222,0.472981393
17/11/2014,25.35704422,16.15250015,26.62594032,101.2878494,42.12029648,0.470830441
18/11/2014,25.68627167,16.24650002,26.55249023,99.88726044,41.76894379,0.482063413
19/11/2014,25.50830841,16.32699966,26.64976311,99.60341644,41.32331848,0.480263323
20/11/2014,25.8731308,16.52700043,26.54256439,99.11597443,41.73467255,0.488183677
21/11/2014,25.90872955,16.63150024,26.67507172,99.28874969,41.11764908,0.490824074
24/11/2014,26.38921356,16.78199959,26.76291084,100.0476685,40.78342438,0.493944138
25/11/2014,26.16008568,16.75200081,26.85273933,99.80703735,40.68059158,0.49370414
26/11/2014,26.47152328,16.67849922,26.81750298,99.92427063,40.92053986,0.502104461
28/11/2014,26.4559536,16.93199921,26.88996124,100.0600052,40.97196198,0.503304482
01/12/2014,25.59729385,16.29999924,26.49144745,99.67131805,41.66610718,0.493944138
02/12/2014,25.49941635,16.31550026,26.48896408,100.3684921,41.52898407,0.494664043
03/12/2014,25.7885952,15.82499981,26.36837006,101.5099716,41.20333099,0.507384598
04/12/2014,25.69072342,15.8465004,26.66564178,101.2199936,41.85463333,0.502824485
05/12/2014,25.58172417,15.63150024,26.06762314,100.7387314,41.49471283,0.505704761
08/12/2014,25.00334549,15.33199978,26.15298653,99.86873627,40.87768173,0.499224335
09/12/2014,25.38596916,15.625,26.47010803,100.5659714,40.78342438,0.497544169
10/12/2014,24.90325356,15.29199982,26.10732841,99.03579712,40.19210052,0.48650378
11/12/2014,24.82984161,15.36800003,26.22047806,99.38130951,40.42349243,0.486263633
12/12/2014,24.40941429,15.36600018,25.74007797,95.87051392,40.23495865,0.471142918
15/12/2014,24.07573318,15.30350018,25.49888802,94.43910217,39.99500275,0.46970287
16/12/2014,23.74650764,14.75300026,24.58523369,93.42100525,38.70097733,0.464422643
17/12/2014,24.33823204,14.94400024,25.05669975,93.74185181,39.19801712,0.483383566
18/12/2014,25.0589695,14.88650036,25.36489105,97.28965759,40.72343445,0.48530367
19/12/2014,24.86542702,14.99499989,25.62543869,97.8017807,40.84341049,0.490103781
22/12/2014,25.12347412,15.32699966,26.04826927,99.60962677,41.11764908,0.49874419
23/12/2014,25.0344944,15.31449986,26.33214378,100.1032028,41.52042007,0.495624125
24/12/2014,24.91659737,15.15149975,26.24181938,99.84405518,41.25476456,0.49370414
26/12/2014,25.35704422,15.4545002,26.50286102,100.1648865,41.0319519,0.494184285
29/12/2014,25.33925056,15.60200024,26.31924057,99.03579712,40.66345215,0.493463993
30/12/2014,25.03004646,15.51500034,26.32370377,98.75197601,40.29495621,0.48890394
31/12/2014,24.55401039,15.51749992,26.12420082,98.99260712,39.80646515,0.481223404
02/01/2015,24.32042694,15.42599964,26.0452919,99.99216461,40.07213211,0.483143687
05/01/2015,23.63528633,15.10949993,25.5023613,98.41876221,39.70363235,0.474983096
06/01/2015,23.63751602,14.76449966,24.91129303,96.29627228,39.12088776,0.460582346
07/01/2015,23.96896172,14.92099953,24.86861038,95.66694641,39.617939,0.459382385
08/01/2015,24.88990784,15.02299976,24.94702339,97.74624634,40.78342438,0.476663202
09/01/2015,24.91659737,14.8465004,24.62394714,98.17197418,40.44062042,0.478583306
12/01/2015,24.30263138,14.57050037,24.44429016,96.52457428,39.93502426,0.472582996
13/01/2015,24.51841545,14.73700047,24.62444115,96.75284576,39.7293396,0.471862972
14/01/2015,24.42498398,14.66349983,24.85719681,96.1296463,39.3865509,0.473783046
15/01/2015,23.76208496,14.34749985,24.90285492,95.37076569,38.97521591,0.470422924
16/01/2015,23.57745743,14.5369997,25.2150135,96.95645142,39.62650299,0.479063302
20/01/2015,24.18474388,14.47200012,25.15645409,96.83924103,39.75505066,0.48050338
21/01/2015,24.36937904,14.86250019,25.70931053,93.84059143,39.35228348,0.487223864
22/01/2015,25.00334549,15.51599979,26.52072716,95.87671661,40.38921356,0.495624125
23/01/2015,25.13237953,15.61950016,26.79665947,96.17285919,40.43205261,0.497064054
26/01/2015,25.15906715,15.4829998,26.56142235,96.47519684,40.28638077,0.494903982
27/01/2015,24.27817154,15.33749962,25.73859024,94.81544495,36.55852509,0.471142918
28/01/2015,25.65067863,15.19550037,25.31029892,93.5074234,35.29878235,0.46346271
29/01/2015,26.44927979,15.58899975,25.34305573,95.93222046,36.00149918,0.474743098
30/01/2015,26.0622139,17.72649956,26.52717972,94.59332275,34.62177658,0.460822523
02/02/2015,26.38921356,18.2234993,26.22742653,95.4262619,35.37589645,0.470903009
03/02/2015,26.39366531,18.17749977,26.26514435,97.77710724,35.65014267,0.482663393
04/02/2015,26.59609604,18.23749924,25.94355583,96.84540558,35.85581589,0.483863682
05/02/2015,26.78592491,18.69449997,26.18276024,97.43157196,36.37857437,0.491783768
06/02/2015,26.56035995,18.7140007,26.35249138,97.37565613,36.34429169,0.489623725
09/02/2015,26.73678589,18.52799988,26.19516754,96.77293396,36.30144501,0.489143819
